cell_specimen_id,ori_dg,tf_dg,osi_dg,dsi_dg,peak_dff_dg,reliability_dg,cv_os_dg,cv_ds_dg,tf_index_dg,run_modulation_dg,response_reliability_nm1,response_reliability_nm3
587375551,5,2,0.9111,0.174834,11.813636,0.048233,0.553109,0.265267,0.370689,0.393692,-0.0004,0.016263
587375387,2,5,1.038309,0.694292,3.465753,0.110296,0.760961,0.675892,0.394154,,0.28145,0.033714
517471695,4,1,0.500753,0.865184,2.646569,0.009271,0.156933,0.413417,0.218471,,0.012978,0.000353
587375128,6,1,0.676823,0.477491,1.885905,0.082363,0.508755,0.125488,0.374415,,0.092216,0.0203
517471217,7,4,0.982961,0.37834,54.753917,0.359779,0.683473,0.316652,0.478928,,0.023198,0.034077
517470223,0,3,1.050098,0.574255,35.282405,0.155455,0.976111,0.568469,0.365841,,0.01645,0.011418
517471854,1,3,0.760873,0.412601,5.174804,-0.000819,0.458029,0.198053,0.218184,,0.062367,0.030089
517470195,1,2,0.980151,0.362302,3.938606,0.053829,0.553112,0.318889,0.337552,,0.595216,0.155344
517470650,1,1,0.865079,0.388051,5.341671,0.042897,0.714268,0.329977,0.394292,-0.081428,0.020826,0.004298
517471896,2,1,7.951312,0.680717,1.319652,0.047404,0.710678,0.599959,0.304974,,0.019745,0.032272
517470455,3,2,0.877205,0.23964,5.25102,-0.003358,0.511965,0.280996,0.365038,,0.371953,0.271784
587375570,1,4,0.775253,0.350081,3.07546,5.4e-05,0.708059,0.299021,0.235952,,0.07638,0.060384
517470220,0,4,1.372996,0.75227,2.089161,0.055739,0.70828,0.692537,0.36443,-0.020983,0.036837,0.050489
517470210,0,1,0.492268,1.014355,4.565537,0.07365,0.186916,0.71927,0.345046,,0.045024,0.052584
517472410,0,4,6.855013,0.780226,2.08484,0.002934,0.879898,0.77618,0.335644,-0.204186,0.024066,0.02001
517470214,7,4,1.1126,1.442092,4.073982,0.014454,0.846291,0.949524,0.375122,,0.035024,0.018927
517470597,1,4,0.983969,0.26972,8.20856,0.233799,0.969969,0.266094,0.419346,,0.008335,0.009498
587375531,4,1,0.631665,0.529754,4.336737,0.0102,0.314222,0.488622,0.343468,,0.04178,0.033978
517470584,7,1,1.024251,0.821601,4.158001,0.062359,0.721172,0.717786,0.459135,,0.014354,0.193647
587375370,6,4,0.674476,15.554208,1.099263,-0.003626,0.440085,0.725524,0.190055,,0.045122,0.042052
587375465,2,2,0.966176,0.878157,28.65975,0.151672,0.875117,0.840439,0.366036,,0.012766,0.013782
517471943,2,1,1.800546,0.092075,2.360271,0.045177,1.0,0.092075,0.365709,,0.0166,0.094114
517470908,6,3,-8.168804,-15.642119,2.020197,0.009351,1.0,1.0,0.320591,,0.141105,0.154411
517472311,2,1,0.425996,0.733337,5.437102,0.033285,0.32925,0.185052,0.319442,,0.073064,0.352304
517471157,0,3,1.115479,1.120671,3.336307,0.027051,0.828801,0.953047,0.356731,,0.565091,0.610431
517471239,4,1,0.701521,0.097866,2.273397,0.115758,0.539424,0.106444,0.356713,,0.047375,0.04126
517471231,2,4,0.846549,1.145675,10.87319,0.016546,0.622583,0.806018,0.243818,,0.0923,0.58604
517470480,2,1,1.090735,0.508844,29.223657,0.23987,0.97535,0.514097,0.452367,,0.026185,0.011081
517470436,5,4,0.991423,0.397559,17.861935,0.026347,0.862191,0.281268,0.311686,,0.102765,0.036421
517470441,2,3,-1.795705,1.052573,0.912592,0.031281,0.861618,0.961533,0.302033,,0.026445,0.0924
517470865,1,2,1.28525,0.081717,1.54334,0.023509,0.811736,0.159464,0.354492,,0.032378,0.226858
517470413,2,1,-1.599619,-2.466611,0.347263,-0.012169,1.0,1.0,0.316409,,0.236655,0.250481
517470487,2,1,1.1759,0.448486,5.222825,0.161986,0.759822,0.231645,0.393838,,0.023295,0.089123
517470677,4,1,0.484099,0.214558,1.133455,0.006339,0.38532,0.256914,0.379527,,0.043075,0.01677
517470718,7,2,0.671529,0.454966,0.963639,0.003109,0.413465,0.454882,0.236678,-0.530649,0.03924,0.031287
517470915,7,1,0.717462,0.484917,14.187305,0.223951,0.496375,0.443554,0.429445,,0.052961,0.076514
517470957,0,1,0.101998,0.300644,1.68029,0.015444,0.027201,0.256975,0.373573,,0.123411,0.096259
517470930,3,1,1.098081,0.488749,0.61213,0.023081,0.635097,0.551013,0.323534,,0.007254,0.051632
517471246,5,4,-0.671268,-0.737675,-0.441708,0.073583,,,0.305054,,0.05071,0.019659
517471389,5,5,1.548195,0.103926,2.920895,-0.002714,0.900394,0.076999,0.269088,,0.055042,0.007693
517470879,6,1,1.130266,0.255027,19.678626,0.24973,0.920826,0.239298,0.401503,,0.094179,0.059802
517471199,3,1,1.52831,0.038781,11.359019,0.055939,0.794482,0.063062,0.291557,,0.13508,0.390067
517470746,0,5,1.342964,1.091022,2.868744,0.005358,0.751801,0.507699,0.302871,,0.037396,0.308244
517470737,0,4,2.10198,0.364215,1.114681,0.035878,0.782312,0.182438,0.26599,0.577671,0.039907,0.033125
517471879,2,1,0.904492,0.776573,6.212548,0.120693,0.728821,0.661358,0.339323,,0.011092,0.003206
517470405,1,1,1.262549,0.99628,1.429479,-0.015984,0.333549,0.137355,0.318882,0.489474,0.091551,0.033684
517470423,6,1,0.449579,0.350302,2.618815,0.001298,0.309867,0.268276,0.409989,,0.040613,0.044953
587375767,7,4,0.665674,0.009731,4.94323,0.070338,0.552575,0.229274,0.323689,,0.004163,0.037558
517472541,7,3,1.219864,0.154942,50.155954,0.398281,1.0,0.154942,0.296108,,0.501517,0.011986
517471864,0,3,1.056468,0.876298,3.944519,0.049504,0.760289,0.756613,0.284599,,0.834607,0.417237
517472580,1,2,0.970431,0.565244,7.706402,0.0219,0.648131,0.455794,0.224177,,0.02824,-0.000508
517470890,6,1,0.903941,0.889503,6.068205,0.090089,0.524464,0.522916,0.362719,,0.431452,0.027046
517472098,3,1,0.976069,0.754889,11.159784,-0.024524,0.716524,0.698712,0.231449,,0.027752,0.007481
517472560,1,3,0.47263,0.718111,3.387974,0.070925,0.1909,0.49571,0.255818,,0.030825,0.023012
517470331,5,3,1.717942,1.094868,4.720497,-0.023098,0.67888,0.79458,0.232024,,0.029057,0.008933
517470964,2,2,0.396516,0.030077,0.934903,-0.007234,0.369345,0.337063,0.340275,,0.035396,0.058617
517471566,1,4,0.867991,0.895824,6.370123,0.00523,0.62863,0.732242,0.301951,,0.007415,0.023258
517472277,3,5,1.104103,2.075612,4.427922,0.046696,0.507294,0.173807,0.394418,,0.007056,0.311446
587375255,1,1,1.090729,0.172382,5.339271,0.115923,0.770747,0.170063,0.474557,0.253302,0.01827,0.022784
517472295,6,2,0.911591,1.312111,10.975487,0.061605,0.639001,0.398525,0.359613,,0.453373,0.193522
517470633,0,1,0.863357,0.051319,1.053433,0.016229,0.547159,0.24206,0.358628,,0.123556,0.359224
517470640,5,4,3.653435,0.265415,1.506931,0.022124,1.0,0.265415,0.383535,,0.042913,0.231442
517472304,5,5,-40.378915,-2.981293,3.644041,0.165098,1.0,1.0,0.250538,,0.030255,0.01691
517470610,0,4,1.163005,0.039449,67.742577,0.347597,1.0,0.039449,0.437745,0.543598,0.210827,0.036714
517472319,4,3,1.092539,5.661217,1.837945,-0.004372,0.792386,0.722549,0.298561,,0.207564,0.017585
517470618,0,1,0.277502,0.302776,0.411854,-0.031753,0.151446,0.307358,0.184374,,0.452717,0.280581
517470626,1,1,0.953699,0.099985,4.888706,0.007185,0.689345,0.164101,0.386668,-0.785148,0.042712,0.063348
587375784,6,2,0.719073,0.922336,11.356717,0.076901,0.439625,0.57889,0.302604,,0.587718,0.240209
517472533,0,1,1.088598,0.338425,13.179751,0.154805,0.834199,0.399646,0.466311,,0.107342,0.148965
587375741,2,2,1.104219,0.149123,63.460624,0.422672,1.0,0.149123,0.468888,,0.049721,0.02039
587375748,5,5,1.278431,0.72538,2.945152,-0.008012,0.556687,0.401884,0.211368,,0.004746,0.004469
517471560,2,1,0.4017,0.015285,1.960595,0.060847,0.324892,0.08257,0.294688,,0.017345,0.033171
517470397,1,3,0.983217,0.685941,35.351603,0.175752,0.957942,0.671846,0.374833,,0.000509,0.003402
517472525,4,1,0.761465,1.183427,6.991901,0.081713,0.458447,0.260359,0.334412,,0.0367,0.176381
517472596,6,5,0.737832,0.10325,3.911378,0.036539,0.510718,0.165225,0.373042,,0.141057,0.251137
587375790,3,4,0.777044,0.424754,1.745705,-0.000579,0.435929,0.215038,0.311493,,0.022578,0.069727
517470704,2,3,1.961729,2.48872,0.984979,-0.014301,0.833603,0.692209,0.310342,,0.011317,0.006635
517471901,2,1,2.311919,0.697316,0.849934,0.006169,0.408309,0.19645,0.325507,,0.04457,0.190241
587375773,0,1,0.747086,0.214418,7.755607,0.208206,0.577857,0.273487,0.510458,,0.029968,0.030405
587375778,0,1,0.87323,0.1828,2.173574,0.014355,0.630622,0.347972,0.339488,,0.127379,0.417724
517470923,7,4,0.988599,0.940364,7.526845,0.096212,0.886819,0.888952,0.246704,,0.040109,0.302194
517470471,4,4,0.731589,18.809319,4.873449,0.452468,0.282912,0.738222,0.24445,,0.190488,0.095118
517472264,4,1,0.753667,0.125639,3.735635,0.000557,0.409211,0.087797,0.389329,,0.044117,0.109522
517471874,1,1,0.295121,0.790594,1.334242,0.032389,0.038639,0.393399,0.301348,-1.018251,0.02375,0.099595
517471135,7,5,2.159445,1.388529,0.86475,-0.000987,0.680588,0.91349,0.255296,,0.03265,0.01348
517471869,5,1,1.660014,0.564981,3.35076,-0.002842,0.657104,0.304482,0.344821,,0.063946,0.205408
517470851,6,1,0.21222,0.184537,2.741813,0.089816,0.248835,0.179368,0.441903,,0.031526,0.04946
517472270,0,2,0.527698,0.500391,1.544708,-0.002852,0.326768,0.389925,0.36845,,0.024237,0.07233
517472506,6,5,1.189795,0.121739,8.26169,0.120427,0.983473,0.121016,0.319711,,0.027837,0.04185
517470199,1,4,0.83178,1.037311,5.426293,0.012621,0.408428,0.730267,0.290237,,0.502413,0.513087
517472513,4,1,1.252292,0.906684,8.810875,0.202717,0.687514,0.564503,0.474751,,0.044777,0.365025
517471964,1,1,1.555502,0.147974,1.170166,0.035559,0.635071,0.280553,0.286017,0.76041,0.228971,0.067848
517470381,2,4,1.087219,0.754617,25.942337,0.371731,0.867123,0.748652,0.420841,,0.012164,0.025954
517472187,1,1,0.935933,0.061608,5.434061,0.016297,0.697788,0.056359,0.31113,-0.684497,0.117804,0.020703
517472232,1,2,1.075982,0.288935,16.371859,0.076042,0.979396,0.295308,0.416117,,0.009219,0.00875
587375699,4,1,0.445715,0.630867,10.163267,-0.004695,0.343779,0.209652,0.32073,,0.04865,0.128633
517472145,6,3,1.165986,0.753413,3.765081,0.020595,0.674694,0.667513,0.275477,,0.02747,0.11373
517471884,7,1,0.967257,0.417349,2.30516,0.018292,0.481404,0.238561,0.389814,,0.225028,0.064276
517471417,2,2,0.507749,1.145008,2.713443,0.013632,0.196313,0.720604,0.33,,0.287001,0.062055
517471120,2,5,1.00562,0.284183,1.0219,-0.011081,0.685556,0.227286,0.202511,,0.042955,0.129825
587375234,4,1,0.469096,0.74796,1.0834,-0.011542,0.118514,0.590287,0.33574,,0.891903,0.606388
517471140,4,1,0.739014,0.24707,3.338123,0.039908,0.49603,0.244959,0.482692,,0.908769,0.319077
517470165,7,1,1.032283,0.305851,40.520511,0.231402,0.93913,0.309742,0.517568,,0.015162,0.020599
587375639,5,4,1.073199,1.763183,2.51618,0.087878,0.908012,0.864565,0.446688,,0.053795,0.282193
587375240,6,1,0.740337,0.795045,0.736389,-0.007755,0.553615,0.31028,0.26437,,0.005613,0.103331
517471849,4,4,2.752254,0.735897,0.878758,0.001459,0.727506,0.346936,0.247106,,0.873854,0.498109
517471472,0,2,-1.010018,-1.054758,0.014269,0.039028,1.0,1.0,0.297499,,0.092157,0.11335
517470448,7,4,3.688792,-30.491892,0.546599,-0.007278,0.795447,0.903531,0.249919,,0.017339,0.032269
517471483,7,1,0.841568,0.270249,3.018862,0.00605,0.742796,0.285158,0.373837,,0.027127,0.012883
587375428,1,5,1.929858,0.541822,1.653179,0.003115,0.547324,0.329282,0.304991,,0.015573,0.049233
517471408,4,4,0.632451,0.34538,2.576849,-0.005896,0.423728,0.177549,0.303857,,0.009726,0.011473
517470177,1,1,1.023995,0.850089,50.545639,0.407414,0.927451,0.835563,0.482843,0.583872,0.106496,0.046243
517470690,2,1,0.534065,0.334452,4.034049,0.075402,0.338769,0.373565,0.478549,,0.88675,0.572935
517471444,5,2,0.740304,0.099829,3.476609,0.024254,0.610901,0.175203,0.36771,0.375024,0.029282,0.14022
517470205,6,1,2.358257,0.086612,1.990327,0.084739,0.753145,0.075704,0.418296,,0.044819,0.017212
517471143,1,5,4.259427,3.160158,1.433774,0.008201,0.777482,0.569913,0.146859,,0.02218,0.04473
517472242,1,1,0.437081,0.727544,3.755398,0.113075,0.207637,0.384632,0.370533,-0.787371,0.036543,0.05648
517472248,3,1,0.412853,0.555849,2.594401,0.011642,0.18455,0.201837,0.269063,,0.026445,0.046089
587375100,1,5,1.667854,0.797406,1.491788,-0.010178,0.803359,0.621142,0.292954,,0.005089,0.036422
517471572,1,1,0.95301,0.30508,1.432735,0.013652,0.332971,0.177375,0.286828,0.607726,0.017503,0.023968
587375452,6,1,0.902982,0.598066,7.225097,0.108321,0.681747,0.376598,0.306507,,0.006567,0.018081
517471477,7,1,1.191618,1.539218,5.843387,0.172359,0.395746,0.426888,0.263233,,0.617703,0.044142
517470228,0,2,8.083939,0.778266,0.542244,-0.004821,0.914749,0.74631,0.231087,,0.01949,0.074312
